,smiles,LogP,model
20,CN(C)c1nccn2c(C(c3ccc(Cl)cc3)c3ccc(F)cc3)cnc12,4.768,pre
21,COc1cc(C(C)NCc2cc(O)c3c(Cl)cc(Cl)cc3n2)cc(OC)c1OC,5.1238,pre
22,Cn1nnnc1SCC(=O)NN=Cc1ccco1,0.0455,pre
23,COc1ccccc1C1C(C(=O)C(C)C)C(=O)C(=O)N1c1ccc(-c2ccsc2)cc1,4.922,pre
24,CCC1CC(C2CCC3=C2C(=O)c2c(cc4c(c2OC)OCO4)C2C(C(=O)O)C=CC2N3C)C(=O)N1c1cccc(OC)c1,4.7792,pre
25,Oc1ccc(-c2cc(-c3ccncc3)nc3ccccc23)cc1O,4.375,pre
26,Cc1csc(Nc2nc(-c3cccs3)nn2S(=O)(=O)c2ccccc2)n1,3.75212,pre
27,Cn1cc(-c2ccc(O)c(Cl)c2)c(-c2ccc(Cl)cc2)n1,4.7665,pre
28,O=C(Nc1cccc([N+](=O)[O-])c1)c1ccccc1NS(=O)(=O)c1cc(Cl)c(Cl)cc1Cl,5.6081,pre
29,N#Cc1cc(F)c(NCc2cccc(S(N)(=O)=O)c2)c(F)c1,2.09598,pre
30,C[n+]1c2ccc(F)cc2[nH]c2cc(N(CC(=O)O)Cn3ccnc3)ccc21,0.0,pre
31,COc1ccc(OCC(=O)N2CCN(c3noc(O)n3)CC2C)cc1,0.8999,pre
32,Nc1ccccc1OCC(=O)NCCOc1ccc(Cl)cc1Cl,3.1496,pre
33,CC(OC(=O)Cc1ccccc1)C1CC=CN(C(CC(C)C)C(=O)Nc2ccc(S(N)(=O)=O)cc2)C1=O,3.2238,pre
34,O=C(NCCC(=O)N1CCc2ccccc21)c1cnccn1,1.1858,pre
35,NC(CCC(=O)N(C(=O)Nc1ccc(Cl)cc1)c1ccccc1)C1CC1,4.4226,pre
36,O=C(O)c1cc2c(cc1O)C(=O)C(=Cc1cccc(O)c1)C2=O,2.2586,pre
37,CCOC(=O)C(CO)NC(=O)OC(C)(C)C,0.4351,pre
38,COC(=O)c1nc2cc(Cl)c[nH]c-2n1,1.3495,pre
39,CC(Oc1cc(-c2ccc3c(N)n[nH]c3c2)nc(N)n1)c1ccccc1,3.3243,pre
40,CC(C)(C)CNC(=O)CC1CC2c3ccc(F)cc3Cc3ccccc3N2O1,4.5339,pre
41,CC(c1ccc(F)cc1)N1CCC2(CCC(=O)CC2)OC1=O,3.6109,pre
42,Cc1cc(Cl)ccc1NC(=S)NN=C1C(=O)Nc2ccc(Br)cc21,4.05372,pre
43,CCOCCn1c(=O)c2ccccc2n2c(SCC(=O)N3c4ccccc4C=C3)nnc12,3.4679,pre
44,CC(C)(C)Oc1cc(NC(=NC#N)c2ccccc2)ccc1N,3.78588,pre
45,CC(C)c1c(SCCC(=O)O)[nH]c2cc(Cl)ccc12,4.5115,pre
46,CCOC(=N)CSCc1ccccc1C(=O)OC,2.72017,pre
47,Cc1ccc(S(=O)(=O)Nc2cccc3cccnc23)cc1,3.34402,pre
48,CCC12CC3CC(C1)CC(NCc1ccc(C#N)cc1)(C3)C2,4.39688,pre
49,COc1ccccc1N1CCC(C(=O)Nc2cc3c(cc2O)n(C)c(=O)n3C)CC1,2.4463,pre
50,CCCNC(=O)COc1cc(C)c(C(C)C)cc1-c1ccccc1,4.69042,pre
51,O=C(O)CCC(=Cc1ccc(Cl)cc1)C(=O)N1CCN(c2ccc(Cl)cc2)CC1,4.5904,pre
52,Cn1c2c(ccc1=O)CC(NCC1CCN(c3cccc(C(F)(F)F)c3)CC1)CC2,3.7676,pre
53,O=C(c1ncc(-c2ccccc2)[nH]1)c1n[nH]c2ccccc12,3.184,pre
54,COC(=O)c1ccc(NC(=O)COc2cc(C)ccc2[N+](=O)[O-])cc1,2.70732,pre
55,O=C(OCC1OC(OC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)c1ccccc1,0.0,pre
56,COc1cccc(-c2[nH]c3ccccc3c2CCNC(=O)C(C)c2ccccc2)c1,5.3059,pre
57,CCn1cc(S(=O)(=O)N2CCC(O)(c3cccnc3)CC2)c(OC)n1,0.9789,pre
58,COc1ccc(CCON=C2C(NC(=N)N)C(=O)N2CCOCc2ccccc2)cc1,1.47847,pre
59,COC(=O)c1cc(OCC(F)(F)C(F)F)nn1-c1ccccc1,2.9381,pre
60,O=C(Oc1c(C(=O)O)sc(-c2ccc([N+](=O)[O-])cc2)c1-c1ccc(Cl)cc1)c1ccco1,6.1541,pre
61,O=C(Nc1ccc2ccccc2n1)c1cccc(NC(=O)c2cccc(Cl)c2)c1,5.3928,pre
62,Cc1nn(C)c(N(C)C)c1CNCc1ccc(CO)cc1,1.57662,pre
63,Cc1c(N(Cc2cc3ccc(OC(F)(F)F)cc3n2CC(C)(C)C)c2ccc(OC(F)(F)F)cc2)CC(C)(C)CC(=O)O)c(N)c1C(N)=O,0.0,pre
64,CCc1nc2n(n1)CC(CNC(=O)CCN)C(=O)O2,0.0,pre
65,O=C(NCCc1ccccc1)c1nc(Cl)c2ccccc2c1O,3.5663,pre
66,COc1cc(C(=O)Oc2cncc(C=CN(Cc3ccccc3)C(=O)c3ccccc3)c2)cc(OC)c1OC,5.6399,pre
67,Cn1ccnc1C(=O)NC1CCNCC1,0.0,pre
68,COc1ccc(C(C)NC(=O)Cc2ccc(C(=O)c3cccnc3)cc2)cc1OC,3.7497,pre
69,CCc1ccc2nc(O)c(CN(Cc3ccco3)C(=O)C(C#N)=Cc3ccccn3)cc2c1,4.62678,pre
70,Cn1c(=O)c2c(ncn2CCCN)n(C)c1=O,0.0,pre
71,CCOc1cccc(C=C(CC)CC)c1O,3.9943,pre
72,COc1ccc(OS(=O)(=O)c2cncc(Oc3ccc(C)cc3C(F)(F)F)c2)cc1,4.97742,pre
73,COC(=O)c1c(N)n(-c2ccc(OC)cc2)c2nc3ncccc3nc12,2.3461,pre
74,COc1cc(C=CC(=O)c2ccccc2NCCO)ccc1O,2.7011,pre
75,COc1cccc(CN2CC(C(=O)O)C(CN3CCOCC3)=C2C#N)c1,1.32148,pre
76,CC1=CC(=O)C2(C)C1CC1OC(=O)CC3C(C)CC4CC(=O)CCC4(C)C1O3,0.0,pre
77,OCCNc1nc(N2CCOCC2)nc2ccccc12,0.8706,pre
78,O=C(O)COc1ccccc1C#CC1(O)CN2CCC1CC2,0.9582,pre
79,CC(=CCOc1c(Cl)c(S(=O)(=O)O)cc2ccc(C(=N)N)cc12)CC(C)(C)C,4.78527,pre
80,OC1=C(c2ccccc2)C(=O)N(Cc2ccco2)C1c1ccc(Cl)cc1,4.9858,pre
81,Cn1c(=O)c2c(nc(OCCN3C(=O)CSC3c3c(Cl)cccc3Cl)n2Cc2ccc(F)cc2)n(C)c1=O,3.5809,pre
82,CCN1C(=O)c2ccccc2[S+]([O-])c2ccc(C(=O)NCc3ccc(Cl)cc3)cc21,4.4168,pre
83,CN(C)CCCNC(=O)c1cccc(Nc2ncc(-c3cccc(Br)c3)o2)c1,4.5292,pre
84,CC(=O)OCC1=COC(OC2=C(C(C)=NOC(C)=O)COC2=O)C1,0.9463,pre
85,COCCn1c(=O)c(-c2ccccc2)nc2cncnc21,1.4999,pre
86,O=C(Oc1cccc2ccccc12)c1ccccc1,4.059,pre
87,CCOC(=O)Cc1csc(NC(=O)c2ccc(S(=O)(=O)N(C)c3ccccc3)cc2)n1,3.3261,pre
88,O=C(O)C=Cc1cncc([N+](=O)[O-])c1,1.0876,pre
89,CNc1nc(C)c([N+](=O)[O-])c(NCc2ccccc2)n1,2.34702,pre
90,CCN1CCN(c2nc(Cc3ccccc3)nc3ccccc23)CC1,3.3625,pre
91,O=C(O)c1ccc2oc3c(O)cc(Br)c4cccc(c2cBr1)c43,0.0,pre
92,CCn1c(=O)ccc2c(NC(=O)NC3CCC(OC)CC3)cccc21,3.1005,pre
93,O=C(c1ccncc1)N1N=C(c2ccc(Cl)c(Cl)c2)CC1c1c[nH]c2ccccc12,5.8612,pre
94,CCC(C)C(N)C(=O)NC(C(=O)O)c1ccccc1,1.3019,pre
95,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1nncs1,3.0831,pre
96,O=C(c1cc2c(O)cccc2o1)N1CCc2ccccc21,3.3413,pre
97,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(O)C(O)C(C)O1,1.0625,pre
98,c1ccc(CCCc2nc(-c3ccc4nc[nH]c4c3)co2)cc1,4.3932,pre
99,Fc1ccc(C2CN(Cc3ccccc3)CC2c2cc(-c3ccccc3)nn2-c2ccccc2)cc1,7.0616,pre
100,CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3ccccc3)C2SC1,0.5308,pre
101,O=C(c1ccno1)N1CCc2[nH]cnc2C1c1cccc(OC(F)(F)c2ncncc2-c2ccsc2)c1,4.8324,pre
102,COc1ccc(C(=O)Nc2ccc(-c3nc4ccccc4[nH]3)cc2)cc1C1CCN(CC)CC1,5.6901,pre
103,CCNc1nc(Nc2ccc(N3CCN(C)CC3)c(Br)c2)ncc1C(F)(F)F,4.1851,pre
104,CC12CCC3c4ccc(O)cc4CCC3C1CCC2(O)C(Br)Br,5.0953,pre
105,CC(=O)OCC(=O)C1(OC(=O)c2ccccc2)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,4.2171,pre
106,Nc1ccccc1NC(=O)c1ccc(CNc2nc(Nc3ccc(Cl)cc3)nc(N3CCOCC3)n2)cc1,4.5518,pre
107,O=C(O)C(O)=CC(=O)c1cn(Cc2ccc(F)cc2)c2ccccc2c1=O,2.8981,pre
108,CCOC(=O)N1CCN(C(=S)NC=NN=C(C)c2ccc(N3CCOCC3)cc2)CC1,1.9241,pre
109,O=C(O)c1ccc(CNc2ccc3c(c2)ncn3-c2ccc(F)cc2)cc1,4.4749,pre
110,FC(F)(F)c1cccc(Nc2ccccc2NS(=O)(=O)c2cccc3nsnc23)c1,5.2545,pre
111,CCN(CC)C(=O)C1(c2ccsc2)CC1CN,1.8329,pre
112,Cc1cc(C(=O)C2CCN(C3CCOCC3)CC2)c2cc(N(C)CCO)ccc2n1,3.04542,pre
113,OC(c1ccccc1)(c1cnc2ccccc2n1)C1CC1,3.2757,pre
114,COc1ccc(Cl)cc1NC(=O)c1c(NO)cc(-c2cccs2)oc1=O,4.0837,pre
115,Cc1ccccc1CC1(O)CCN(CCc2ccc(Oc3ccc(C(F)(F)F)cn3)cc2)CC1,5.81322,pre
116,COc1cc(C=CC(=O)CC(O)C(CC(O)C(O)CC(=O)OCc2ccccc2)(Cc2ccccc2)C(=O)C=C(C)C)cc(OC)c1OC,5.0555,pre
117,Cc1c(-c2nnc(C(C)C)s2)nc(-c2ccc(F)cc2)n1-c1ccc(O)cc1,5.33432,pre
118,O=C(O)c1ccccc1S(=O)(=O)Nc1ccc2[nH]cc(C3=CCNCC3)c2c1,3.0436,pre
119,COc1ccc2c3c([nH]c2c1)C(CO)N(C(C)C)CC31CN(C(=O)c2ccc(Cl)cc2)C1,3.9811,pre
120,COc1ncccc1CN1CC(C)N(c2nc3cc(C)ccc3c(=O)[nH]2)CC1,2.34582,pre
121,Cc1nc(NC(CO)C(O)c2ccccc2)nc(O)c1NC(=O)Cc1ccc(C(C)C)cc1,3.30162,pre
122,COc1ncc2cc(-c3ccc4c(c3)OCO4)cnc2c1,3.0341,pre
123,CCOC1OC2OC3(C)CCC4C(C)CCC(C1C)C24OO3,3.2309,pre
124,CC(=NN1CCN(CCC(C)C2CCC3(C=C4(CC(O)CC(C)C4)C(=N)N)=NCCC32)CC1)c1ccc([N+](=O)[O-])cc1,0.0,pre
125,Cc1cccc2c(Nc3ccc(C(=O)O)cc3)c3ccccc3nc12,5.13822,pre
126,CC1CCN(S(=O)(=O)CCNC(=O)c2ccc(F)cc2)CC1,1.6172,pre
127,CSc1ccsc1-c1nc2ccccc2n(CC(=O)Nc2ccc(CC=CCO)cc2)c1=O,4.5766,pre
128,N#Cc1cnn2c(NCc3ccc(Oc4ccccc4)cc3)ccnc12,4.00538,pre
129,COc1ccc(O)c(C(=O)c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)c1,4.9324,pre
130,O=C(NCc1ccc(N2CCN(CCO)CC2)cc1)c1ccc(-c2cccc(C(F)(F)F)c2)c(F)c1,4.5558,pre
131,O=c1cc(C[S+]([O-])CCC(=O)NCCc2ccccc2)oc2cccc(O)c12,2.4963,pre
132,COCOc1ccc(CCCN2CCOCC2)cc1,1.9341,pre
133,OCCNc1ncc(Br)cc1Sc1ccc(Cl)cc1[N+](=O)[O-],3.9611,pre
134,CC12CCC(=O)C=C1CCC1C2CCC2(C)C1C1CC1C21CCC(=O)O1,4.45,pre
135,CCSc1c(C(=O)NCc2ccncc2)nnn1-c1ccccc1,2.7043,pre
136,C#CC1(CO)OC(n2cc(F)c(=O)[nH]c2=O)CC1O,0.0,pre
137,CCOC(=O)c1cc(CN2CCOCC2)oc1-c1c(CC)cccc1Cl,4.1713,pre
138,COc1ccc(NC(=O)Cn2nc(C)ccc2=O)cc1OC,1.20762,pre
139,CC(CO)n1c2cnc3ccccc3c2C(C)(C)N)c2ccccc21,0.0,pre
140,CC(NC(=O)c1cccc(C(F)(F)F)c1F)C(c1ccccc1)c1ccccc1,5.7949,pre
141,CC(C(=O)N1CCN(CCOc2ccc([N+](=O)[O-])cc2)CC1)N1C(=O)OC1COCc1ccccc1,2.5014,pre
142,O=C1Nc2ccccc2C(c2ccc3c(ccc4ccccc43)c2)N1CC1CC1,6.3399,pre
143,CN(C)S(=O)(=O)N1CCC(c2cc(Cl)ccc2O)C1,1.6413,pre
144,CC(=O)NC1C2C3CC4C=CC2C1C3C=CC41C(=O)Nc2ccccc21,2.6353,pre
145,CN1CCN(CCOc2ccc(C=Nn3c(-c4ccccc4)nc4cc(Br)ccc4c3=O)cc2)CC1,4.3344,pre
146,CCC(=O)N(c1ccccn1)C1CN(Cc2ccc3c(c2)OCO3)CC1C,3.0738,pre
147,Cc1ccc(C)c(N=C2C(Cl)=C(O)OC2OC(=O)c2ccco2)c1,4.14814,pre
148,Nc1ccc(C(=O)N2CCCN(c3ncc(C(F)(F)F)cc3Cl)CC2)cn1,3.0835,pre
149,CC(C)C(NC(=O)CCc1ccccc1)C(=O)NC(C)C(=O)NC(C)C(=O)NC(CC1CCNC1=O)C(=O)c1nccs1,1.1198,pre
150,ON=C(NC1CC2CCN2CC1)c1ccccc1,1.6487,pre
151,CCNCC(C)Cc1ccc2ccccc2c1,3.6279,pre
152,Cc1ccc(S(=O)(=O)N2C(=O)N(Cc3cccc(C=O)c3)CC2C)cc1,2.82252,pre
153,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(CN3CCC(O)(C(F)(F)F)CC3)c(F)ccc12,3.6051,pre
154,O=C(NNC(=S)NCc1ccco1)c1cccnc1,0.9837,pre
155,CC1CN2c3c(nc4c(-c5nc(C#N)nn5C(C)(C)C3=O)nn(C)c(=O)c3s4)CC2N1C,0.0,pre
156,Cc1ccc(N2CC(=O)Nc3ccc(C)cc3C2c2cccs2)cc1,4.91304,pre
157,COc1cccc(-c2c3c(cc4nc(SC)cc(N5CCOCC5)n24)OCO3)c1,0.0,pre
158,Cc1ccc(-c2nc(CN3CCCc4ccccc43)no2)cc1,3.99782,pre
159,CC(C)=CCCOc1ccc2c(c1)Cc1c-2nc(O)c2nccn12,3.7412,pre
160,COC(=O)C1(C(C)C)NC(C(=O)NC(Cc2ccc(F)cc2)C(=O)OC)C2=NCC(C)(C)CN21,1.2634,pre
161,CC1C(=O)C(C)(C)N(O)C1(C)C,1.4536,pre
162,Fc1ccc(C2=NC(c3cccs3)C(c3ccccc3)N2)cc1,4.7196,pre
163,CC(C)C1=NCC2Cc3nc4ccccc4nc3C1=C2O,3.1818,pre
164,N=C(N)c1ccc2[nH]c(-c3cc(C(CC(=O)O)C(=O)O)cc(-c4cc(Cl)cc(Br)c4O)c3O)nc2c1,4.65097,pre
165,COc1ccc(NC(C)COc2ccccc2O)cc1,3.2802,pre
166,COc1ccc(NC(=O)CSc2nnc(CNC(=O)c3ccc(F)cc3)o2)c(Cl)c1,3.5315,pre
167,C=C1CC(c2ccccc2)C(=O)O1,2.2308,pre
168,CCCc1cc(C2=CC(=O)CC(C)(C)C2)ccc1-n1cnc(C)c1,4.90572,pre
169,CCC(=O)NNc1nc(C)c(C(=O)NCc2ccccc2)s1,2.23462,pre
170,N#Cc1ccc(NC(=O)c2cn(Cc3cccc(Cl)c3)c3ccccc23)cc1,5.46698,pre
171,CN(C)Cc1nnnn1Cc1ccccc1,0.783,pre
172,CNC(=O)c1ccc(CS(=O)(=O)c2ccccc2)c2ccoc12,2.7663,pre
173,N#CC(c1ccncc1)N(C(=O)Cc1ccccc1)c1ccc(C(F)(F)F)cc1,4.94098,pre
174,CC(C)CN1C(=O)NC(c2ccc(CO)cc2)C2=C1C(=O)CCC2,2.9083,pre
175,Cc1ccc2c(CSc3nnnn3-c3ccccc3)n[nH]c2c1,3.13932,pre
176,O=S(=O)(NO)c1ccc2c(c1,0.0,pre
177,COC(=O)NCC(=O)NCC(=O)NC(CC(N)=O)C(=O)O,0.0,pre
178,N#Cc1c2ccncc2c(NCCCNCc2ccccc2)c2cc(N)ccc2n1,0.0,pre
179,O=C(Cn1cnc2c(nnn2Cc2cccc(C(F)(F)F)c2)c1=O)NCc1ccccc1Cl,3.0249,pre
180,CC(=O)Nc1ccc(NC(=O)C(=O)O)cc1,0.6681,pre
181,COc1ccc(COc2ccc3c(c2)C2(COC(N)=N2)C2(COC2)COC3=O)cc1,2.0014,pre
182,c1ccc(CN2CCN(c3noc4ccccc34)CC2)cc1,3.15,pre
183,O=C(NN=Cc1coc2ccccc2c1=O)c1ccccc1,2.5569,pre
184,c1ccc(Sc2nc3ccccc3n2Cc2ccc(Cl)cc2Cl)cc1,6.5426,pre
185,Cn1cnc2cc(-c3cc(-c4cccc5[nH]nc(N)c54)cs3)nc(OCCCN)c2c1=O,2.9101,pre
186,COc1ccccc1NC(=O)CSc1snnc1-c1ccc(Br)cc1,4.707,pre
187,CSCCn1c(=O)c2ccccc2c(=O)c2sccc21,2.9394,pre
188,O=C(O)c1ccc(O)c2c1C(=O)N(c1ccccn1)C2=O,1.286,pre
189,COc1ccc2c(c1)Cc1cc(S(=O)(=O)Nc3cc(C)ccc3OC)[nH]c1-2,3.71232,pre
190,FC(F)(F)C1C2CC3CC(C2)CC1(Cc1ccccc1)C3,5.2339,pre
191,CC(C)(C)n1cc(C(=O)O)c(=O)c2cc(CBr)[nH]c21,2.6777,pre
192,Cc1cc(NC(=O)c2ccc3nc(-c4cccnc4)oc3c2)sn1,3.90702,pre
193,Nc1cccc(S(=O)(=O)NCc2ccccc2)c1,1.7473,pre
194,CC(=O)Oc1ccccc1OC(=O)c1ccccc1Cl,3.4845,pre
195,CCCN1CCC(NC(=O)C23CC4CC(CC(C4)C2)C3)CC1,3.1934,pre
196,O=c1cc2n(C3COCCO3)c(Nc3ccccc3)nnc2c2ccccc12,3.1853,pre
197,CC(=O)Nc1ccc(NC(=O)CSCc2ccc(Cl)c(Cl)c2)cc1,4.8237,pre
198,O=C(CSc1nnc(Cc2csc(NCCCN3CCN(c4ccccc4)CC3)n2)c1F)Nc1ccccc1,0.0,pre
199,O=C1c2ccccc2-c2c1c1ccccc1c(=O)n2CCCOc1ccc(F)cc1F,4.9602,pre
200,O=C(c1ccc(F)cc1)N1CCN(C2CCN(C(=O)c3ccc(Cl)cc3)CC2)CC1,3.5417,pre
201,C(=C1CCCN(c2ccccc2)CN1)c1cccs1,3.9365,pre
202,CC1CCN(c2ccc(Nc3nccc(-c4c(-c5cccc(NCc6ccccc6)c5)ncn4C)c3)cn2)CC1,7.1361,pre
203,CN(N=O)C(=O)NCC1OC(n2cc(C3CC3)nn2)C(O)C(O)C1O,0.0,pre
204,CCOC(=O)C1=C(c2ccccc2)NC(=O)NC1c1ccccc1F,3.154,pre
205,CN(C)CC(=O)N1CC(=O)N2C(CO)C(c3cccc(C#N)c3)C2C1,0.0,pre
206,Clc1ccccc1-c1cc(-c2ncc[nH]2)nc(N2CCOCC2)n1,3.0237,pre
207,COc1ccccc1N1CCN(C(=O)c2cn(C)c3ccccc23)CC1,3.1493,pre
208,COCc1ccc(-c2ncoc2-c2ccc3c(c2)OCO3)cc1,3.8837,pre
209,C=Cc1cc(-c2ccccc2)ccc1OC,4.0052,pre
210,Oc1ccc2c(-c3ccc4nccnc4c3)cccc2c1,4.1556,pre
211,COC(=O)C1(C(C)OCc2ccccc2)C(C)CN(C)C1,2.3326,pre
212,COc1c(C)cnc(CN(C)C(=O)c2ccc(C(C)(C)C)cc2)c1Cl,4.62172,pre
213,COc1ccc(-c2cn3ccc(C)cc3n2)cc1Cl,3.97172,pre
214,CCC(C)C1=C(OCC2=CC(CO)CC2)C(CCc2ccccc2)NC(=O)N1Cc1ccccc1,5.8162,pre
215,Nc1nc2c(Br)c(Br)c(Br)c(Br)c2[nH]1,4.1951,pre
216,O=[N+]([O-])c1ccc(NC(S)=Nc2ccc(Oc3ccccc3)cc2)c([N+](=O)[O-])c1,5.3247,pre
217,NS(=O)(=O)c1ccc(C(=O)OCC(=O)Nc2ccc3c(c2)OCO3)cc1,0.8582,pre
218,CC(=O)c1ccc(NC(=O)c2ccncc2)cc1,2.5365,pre
219,NC(=O)c1nc(Cn2cc(COc3cccc(F)c3)nn2)no1,0.5264,pre
220,Cc1cc(-c2ccc(C)c(NC(=O)C3CCN(c4ncccn4)CC3)c2)on1,3.60354,pre
221,N#Cc1ccc(NC(=O)Cc2c(Cl)cccc2Cl)cc1NCC1CCCN1,4.21018,pre
222,Cc1cc2oc(=O)cc(-c3ccccc3)c2oc1=O,2.72162,pre
223,O=[N+]([O-])c1cc(CN2CCCNCCNCCCNCC2)ccc1N1CCNCC1,0.369,pre
224,CCN=NN(CCC#N)N=Nc1ccccc1Cl,3.94148,pre
225,CC(=O)Nc1ccc(N(C(=O)Oc2ccc(C)cc2)C2CCS(=O)(=O)C2)cc1,3.14592,pre
226,NC(=O)C[S+]([O-])Cc1ccccc1,0.4206,pre
227,CN1CC(c2ccccc2)C(=O)C1,1.2847,pre
228,Cc1ccc(-c2cccc(C)n2)c(C)c1,3.67386,pre
229,CCC(=O)C1(C)CCC2C3CC=C4C=C(C(=O)NCCCO)CCC4C3CCC21C,4.5794,pre
230,COc1ccc(-c2cc(=O)c3c(C)cc(O)cc3o2)cc1,3.48262,pre
231,c1cc(CN2CCOC3CN(Cc4cscn4)CC3C2)ccc1C1CC1,3.3533,pre
232,COc1cc(C(=O)N2CCN(c3ccc4nnc(C)n4c3)CC2)ccc1Cl,2.66212,pre
233,CC1(C)C2CCC1(CS(=O)(=O)N1CCC3(CCCc4ccccc43)CC1)C(N1C(=O)CC(NCc3ccccc3Br)C1)C2,6.0344,pre
234,CC(C(=O)NCc1ccc(-n2cncn2)c(Cl)c1)c1ccccc1F,3.4797,pre
235,N#Cc1ccc(NS(=O)(=O)c2nnnn2-c2cccc(Cl)c2)cc1,1.98818,pre
236,O=C(Nc1cccc2ccccc12)c1cccc2nc3ccccc3nc12,5.1885,pre
237,COc1cc(CC(=O)NC2CCN(C(=O)NCc3ccccc3)CC2)ccc1F,2.8672,pre
238,c1ccc(CCN2CCN(Cc3csc(-c4cccc5ccccc45)n3)CC2)cc1,5.3236,pre
239,COc1cc2nc(N3CCN(C(=O)C4COc5ccccc5O4)nc3-n3cccc3C)n(C)c(=O)c2cc1OC,2.36852,pre
240,CC1CCN(C(=O)COC(=O)c2ccc(NS(=O)(=O)c3ccc(C(F)(F)F)cc3)cc2)CC1,3.9215,pre
241,COc1cccc(OC)c1C(=O)Nc1ccc2nc(SCCN3CCOC(C)C3)oc2c1,3.9101,pre
242,Cc1ccc(O)cc1Cc1ncc(C(=O)O)n1C,1.72312,pre
243,Cc1cccc2c1CN(c1nc(Cl)nc(N)n1)CN2,1.80522,pre
244,CCN(CCCNC(=O)c1cc2c(s1)-c1ccccc1CC2)c1ccc(OS(C)(=O)=O)cc1,4.4985,pre
245,O=C(c1ccc(Oc2ncc(Br)cn2)cc1)N1CCc2ccccc2C1,4.2299,pre
246,CCCN(C)C1CCS(=O)(=O)c2cc(C)c(Cl)cc21,3.20872,pre
247,N#Cc1ccc(N2CCN(CCC(c3ccccc3)c3ccccc3)CC2)c(C(=O)O)c1,4.60068,pre
248,CC(C)(C)c1ccc(Cc2cc(C3OC(CO)C(O)C(O)C3O)ccc2Cl)cc1,2.7432,pre
249,Cc1oc(C(=O)O)cc1Br,2.04872,pre
250,O=C(c1ccco1)N1CCCn2c1nc1ccccc12,2.6798,pre
251,COc1ccc(C(=O)COC(=O)CNS(=O)(=O)c2ccccc2Br)cc1OCC,2.5608,pre
252,Cc1ccc(C)c(S(=O)(=O)NC2CCCc3ccccc32)c1,3.65934,pre
253,Cc1ccc(NS(=O)(=O)c2cc(NC(=O)c3ccco3)ccc2Cl)cc1,4.29452,pre
254,CCc1[nH]c2nc(Sc3cnc4nccnc4c3)nc(N3CC(C)CC(C)C3)c2c1Cl,5.1454,pre
255,NC1=NN=C(N)N=C(N)C1c1cccc([N+](=O)[O-])c1,0.0,pre
256,Cc1cccc(-c2cccc(-c3cccc(-c4cccc(F)c4F)c3OC(C)C)c2COCc2ccccc2C)c1C,10.39506,post
